,title,url,publication_date,summary,source_id,category_id,author_id,source_type
51,Venezuela negó «desapariciones forzadas» ante el Comité de Derechos Humanos de la ONU,https://www.contrapunto.com.sv/venezuela-nego-desapariciones-forzadas-ante-el-comite-de-derechos-humanos-de-la-onu/,2023-11-06T11:30:09-06:00,"Corrupción y derechos humanos en Venezuela: judicialización de casos de desapariciones forzadas, instrumentalización de la justicia y ataque al Comité de Derechos Humanos de la ONU.",Diario Digital Contra Punto,Internacionales,,Web Page
52,Crisis política en Uruguay: Caen ministros y funcionarios,https://www.contrapunto.com.sv/crisis-politica-en-uruguay-caen-ministros-y-funcionarios/,2023-11-05T19:27:09-06:00,"“No es crisis institucional, sino que es un problema político que se está encarando con soluciones políticas”, afirmó el presidente de Uruguay, Luis Lacalle Pou.",Diario Digital Contra Punto,Internacionales,,Web Page
53,"Israel, Hamas y la ONU en la encrucijada de una «tregua humanitaria»",https://www.contrapunto.com.sv/israel-hamas-y-la-onu-en-la-encrucijada-de-una-tregua-humanitaria/,2023-11-04T12:38:09-06:00,"El Secretario General de la ONU, António Guterres, se manifestó «horrorizado» por el ataque contra una ambulancia cerca de un hospital en Gaza.",Diario Digital Contra Punto,Internacionales,,Web Page
54,La trastienda de la ONU al votar una «tregua humanitaria» para frenar la guerra entre Hamas e Israel ,https://www.contrapunto.com.sv/la-trastienda-de-la-onu-al-votar-una-tregua-humanitaria-para-frenar-la-guerra-entre-hamas-e-israel/,2023-10-30T15:28:37-06:00,"La Asamblea Generał de la ONU adoptó el viernes en Nueva York una resolución por una «tregua humanitaria inmediata, duradera y sostenida que conduzca al cese de las hostilidades», entre Hamas e Israel.",Diario Digital Contra Punto,Internacionales,,Web Page
55,"Unesco lamenta situación «letal para los periodistas», por el conflicto entre Hamas e Israel ",https://www.contrapunto.com.sv/unesco-lamenta-situacion-letal-para-los-periodistas-por-el-conflicto-entre-hamas-e-israel/,2023-10-27T11:30:51-06:00,"Cifra record de periodistas abatidos durante los primeros 20 días de guerra entre Hamas, en Gaza, Israel, y Hezbollah del Líbano. Barbarie, fanatismo, odio y venganza en Medio Oriente.",Diario Digital Contra Punto,Internacionales,,Web Page
56,"Policía de EE. UU. busca a Robert Card, en relación al tiroteo masivo en Maine",https://www.contrapunto.com.sv/policia-de-ee-uu-busca-a-robert-card-en-relacion-al-tiroteo-masivo-en-maine/,2023-10-26T11:30:08-06:00,"Al menos 22 muertos y más de 50 heridos dejó un tiroteo en el Estado de Maine, EE. UU., el pasado miércoles. Robert Card ha sido considerado como ""persona de interés"" por las autoridades.
",Diario Digital Contra Punto,Internacionales,,Web Page
57,Nayib Bukele encabeza encuesta de aprobación en gestión,https://www.contrapunto.com.sv/nayib-bukele-encabeza-encuesta-de-aprobacion-en-gestion/,2023-10-25T17:56:11-06:00,"Nayib Bukele de El Salvador lidera encuesta de aprobación presidencial en cuanto a su gestión presidencial con un 88%, según la casa encuestadora CID Gallup.",Diario Digital Contra Punto,Internacionales,,Web Page
58,Hamas y la fiebre del «terrorismo»,https://www.contrapunto.com.sv/hamas-y-la-fiebre-del-terrorismo/,2023-10-24T06:50:25-06:00,"¿Que recomienda el derecho internacional de los derechos humanos para resolver pacíficamente crímenes internacionales, y situaciones de guerra, como la que se está viviendo en Medio Oriente, entre los palestinos de «Hamas» y el Estado de Israel? ",Diario Digital Contra Punto,Internacionales,,Web Page
59,"Brian A. Nichols, Secretario Adjunto de EE. UU., se reunirá con Nayib Bukele",https://www.contrapunto.com.sv/brian-a-nichols-secretario-adjunto-de-ee-uu-se-reunira-con-nayib-bukele/,2023-10-23T12:59:26-06:00,"
Esta semana, el presidente, Nayib Bukele, y el Secretario Adjunto de EE. UU., Brian A. Nichols, se reunirán para conversar sobre cooperación migratoria y seguridad.
",Diario Digital Contra Punto,Internacionales,,Web Page
60,La ONU pide cambios urgentes al Perú para garantizar derechos humanos,https://www.contrapunto.com.sv/la-onu-pide-cambios-urgentes-al-peru-para-garantizar-derechos-humanos/,2023-10-20T10:55:13-06:00,"El Alto Comisionado de la ONU para Derechos Humanos, Volker Turk exhortó a las autoridades peruanas a ""emprender reformas significativas para garantizar el ejercicio de los derechos humanos en el contexto de las manifestaciones"".",Diario Digital Contra Punto,Internacionales,,Web Page
61,UEFA suspende partidos en Israel por motivos de seguridad,https://www.contrapunto.com.sv/uefa-suspende-partidos-en-israel-por-motivos-de-seguridad/,2023-10-19T13:48:17-06:00,"UEFA anunció que no se organizarán partidos en Israel ""hasta nueva orden"" debido a preocupaciones de seguridad relacionadas con el conflicto entre el Estado hebreo y Hamás.",Diario Digital Contra Punto,Internacionales,,Web Page
62,"En América Latina y El Caribe, suben los reclamos de consumidores, pero bajan las respuestas favorables",https://www.contrapunto.com.sv/en-america-latina-y-el-caribe-suben-los-reclamos-de-consumidores-pero-bajan-las-respuestas-favorables/,2023-10-16T14:59:30-06:00,La Fundación Ciudadana por un Consumo Responsable (FCCR) presenta hallazgos sobre reclamos de consumidores en América Latina y el Caribe (2020-2022). ,Diario Digital Contra Punto,Internacionales,,Web Page
